donor, acceptor, , 
29507.27, -749.09, , 
18354.69, -1841.63, , 
17782.00, 333.99, , 
28007.59, -391.84, , 
25331.43, 496.32, , 
25144.02, 1300.05, , 
29443.40, -56.28, , 
25384.03, 161.68, , 
30252.61, -1539.23, , 
22411.14, -415.12, , 
17108.85, -528.94, , 
28140.38, -193.04, , 
17618.87, -397.39, , 
18484.11, 1932.13, , 
8927.72, 258.60, , 
14457.86, 3399.05, , 
11075.63, 784.17, , 
11822.17, 1481.47, , 
11927.60, 2035.31, , 
16101.49, 598.55, , 
19094.53, -977.81, , 
24453.35, 2388.16, , 
24670.70, 1767.55, , 
18763.79, -188.85, , 
12977.52, 199.15, , 
28063.65, -664.44, , 
17594.22, -1192.15, , 
21797.07, -560.97, , 
20394.55, 995.19, , 
10161.28, 1599.24, , 
14865.10, -1679.41, , 
17072.96, 1018.04, , 
12386.87, 356.83, , 
11878.89, -1270.51, , 
9615.74, 605.18, , 
11543.04, 1648.28, , 
6540.93, -555.68, , 
8106.61, -234.00, , 
14635.25, -121.99, , 
13892.02, 1270.35, , 
11007.46, 2278.71, , 
13097.01, 2152.89, , 
16812.08, 257.44, , 
11591.04, 2381.41, , 
12297.19, 1199.04, , 
20125.21, 1505.92, , 
16240.95, 3699.47, , 
17165.91, 4791.85, , 
17167.44, -1877.17, , 
16894.04, -399.44, , 
14976.34, 5037.03, , 
13242.01, 7263.47, , 
11079.37, 1159.39, , 
9041.77, -2478.99, , 
7931.70, -249.92, , 
6371.84, -819.96, , 
11906.88, 1095.42, , 
6556.45, -170.34, , 
7056.08, -799.52, , 
7371.29, 1705.01, , 
9868.65, 2909.31, , 
3573.01, 8586.74, , 
-2442.51, -290.09, , 
-1115.49, -1948.11, , 
-1610.20, -1030.21, , 
2176.61, 19.08, , 
3520.35, 334.94, , 
-1737.75, 956.50, , 
-498.47, 1806.62, , 
-778.50, -1611.77, , 
1474.18, -931.13, , 
3570.17, 580.99, , 
-1707.33, -121.15, , 
-2923.77, 313.07, , 
-709.71, -1914.50, , 
-64.05, 375.13, , 
-311.19, -782.82, , 
322.23, -1054.16, , 
836.08, 934.99, , 
-1139.86, -1680.79, , 
-117.99, -2019.82, , 
-3535.38, -973.65, , 
-1115.14, 3158.75, , 
-1656.31, -1945.91, , 
-16.46, -2387.77, , 
933.75, -304.62, , 
1693.18, -448.65, , 
1433.24, 1197.81, , 
2172.11, -608.57, , 
738.72, -943.59, , 
-163.11, -523.00, , 
-116.53, -1163.07, , 
-4.09, 678.64, , 
241.53, -2089.77, , 
1384.19, -1862.17, , 
958.04, 509.03, , 
-52.60, 1957.80, , 
-3183.47, 895.54, , 
2548.55, -3733.42, , 
-236.30, -749.76, , 
-962.30, 2459.81, , 
2243.61, -388.91, , 
1182.23, 91.22, , 
-675.10, -682.23, , 
1408.17, 392.16, , 
2323.53, -1322.97, , 
-3499.49, 1325.89, , 
3982.77, -561.20, , 
107.52, 118.50, , 
-809.83, 355.25, , 
-2125.97, 1430.98, , 
450.77, -225.60, , 
4560.71, 1602.81, , 
-1113.53, 836.70, , 
-731.94, -39.38, , 
-376.91, 371.53, , 
-2950.08, -606.64, , 
-597.77, -1021.15, , 
1175.02, -1140.59, , 
-1087.43, -1885.54, , 
1395.75, -456.60, , 
-603.92, -952.52, , 
-2326.46, 75.30, , 
-2053.11, -2358.55, , 
-515.61, -712.70, , 
2738.97, -1219.38, , 
1264.82, -954.78, , 
-3183.73, 85.82, , 
1894.34, 1248.05, , 
-810.11, 844.81, , 
542.62, -1107.42, , 
-1696.21, -1964.72, , 
1943.05, -1286.81, , 
1604.77, -1785.05, , 
120.89, -689.48, , 
-187.78, -80.38, , 
-2203.23, 67.57, , 
1044.14, 2519.12, , 
-1423.99, -491.34, , 
-515.87, 1668.62, , 
-2083.49, 323.74, , 
-5135.35, -639.56, , 
1295.69, 1800.18, , 
648.48, 1731.94, , 
1000.62, -339.15, , 
-1509.80, -199.42, , 
-140.95, -1654.82, , 
-2073.48, -1136.74, , 
-766.26, -153.00, , 
-146.08, 1403.20, , 
-1548.44, 755.41, , 
675.52, 1025.59, , 
-3324.87, -954.59, , 
156.82, 1427.86, , 
-233.45, 1145.37, , 
-768.62, -869.06, , 
-1920.77, -1314.73, , 
1904.87, 106.45, , 
-1436.76, 1803.85, , 
-162.04, -729.94, , 
-2814.55, 527.82, , 
-545.67, -2637.90, , 
3321.08, 367.14, , 
-3052.18, -132.68, , 
861.33, 435.24, , 
-139.68, -1131.12, , 
-2118.22, -2356.25, , 
1510.99, -152.62, , 
381.29, -987.65, , 
2812.68, 1586.71, , 
384.47, 351.33, , 
-294.92, -1654.23, , 
-1010.80, 310.05, , 
-120.09, -230.48, , 
-2047.52, -1722.76, , 
405.90, -41.47, , 
-92.21, -1059.66, , 
1490.22, -2524.88, , 
1596.01, 688.74, , 
-1483.92, 2293.31, , 
-1858.53, -2140.35, , 
-3764.07, 441.90, , 
-1205.89, -702.62, , 
-1183.65, 34.60, , 
-767.73, 1411.12, , 
2409.35, -461.30, , 
1711.37, 245.10, , 
-171.16, -1002.90, , 
377.00, -1417.17, , 
-300.83, -1928.80, , 
127.34, -18.25, , 
-88.23, 95.85, , 
459.41, 1224.49, , 
-982.18, -1993.23, , 
547.99, -700.81, , 
-1360.37, 54.62, , 
3438.38, -2.87, , 
764.29, 537.83, , 
1574.95, 565.28, , 
-1693.54, -1016.91, , 
-1307.77, -296.99, , 
-433.13, 1008.54, , 
1586.47, -1953.47, , 
2676.50, -229.06, , 
-554.97, 88.14, , 
1660.36, 1301.74, , 
-349.07, -729.09, , 
-459.46, 157.57, , 
328.83, -658.50, , 
633.08, 813.35, , 
345.42, -44.95, , 
3692.68, 1847.48, , 
-943.23, 521.50, , 
-967.33, -918.95, , 
640.67, -214.40, , 
58.72, 1652.12, , 
-420.29, -746.61, , 
408.54, -225.18, , 
-3008.40, -598.97, , 
1203.57, 305.94, , 
-878.16, 1436.71, , 
1506.59, 88.01, , 
-402.37, -136.59, , 
589.02, -385.55, , 
-1259.42, -975.90, , 
-1571.73, 718.35, , 
-1394.93, -630.35, , 
-892.49, 1483.12, , 
-297.10, 1401.42, , 
-951.13, -457.98, , 
424.83, 1308.99, , 
-1460.49, -1029.72, , 
-337.30, -786.03, , 
-392.49, -1070.82, , 
899.85, 708.10, , 
-676.41, 1019.67, , 
-1240.82, -1579.45, , 
351.10, -67.86, , 
-583.58, -1492.95, , 
881.36, 27.88, , 
716.07, -1045.29, , 
353.49, -1005.34, , 
1587.27, 370.79, , 
1742.93, -694.04, , 
-2421.59, -272.74, , 
-492.31, -169.91, , 
64.83, 715.49, , 
-2124.73, -1093.95, , 
-373.67, 637.35, , 
591.08, 1185.36, , 
-1920.68, 583.42, , 
1729.33, -1350.69, , 
551.69, 361.19, , 
-1650.58, -951.85, , 
-1407.12, -104.76, , 
1891.33, -1620.77, , 
2088.81, 704.49, , 
-1401.46, -576.90, , 
395.66, 802.57, , 
171.37, -1629.26, , 
-2138.50, -1441.13, , 
-1671.56, 2319.62, , 
-260.20, 470.96, , 
319.36, -2337.64, , 
-742.33, -406.46, , 
138.41, 1137.65, , 
1460.13, 311.44, , 
1946.37, 703.50, , 
1895.88, 1205.12, , 
-2114.84, -733.77, , 
817.56, -1509.89, , 
-1081.81, 513.69, , 
581.72, 1992.42, , 
2170.77, -2822.76, , 
141.31, -65.13, , 
981.94, -1372.45, , 
-560.93, 1433.44, , 
-265.33, 186.55, , 
827.89, 1166.63, , 
156.49, -1896.26, , 
-2696.81, 921.50, , 
-514.27, 1035.14, , 
-562.60, -1400.70, , 
-2048.59, -2517.73, , 
-755.96, 730.55, , 
2139.19, 262.54, , 
-393.83, 1503.58, , 
-1444.85, 820.40, , 
3213.04, 1969.00, , 
2375.55, 1023.10, , 
-2609.35, 47.76, , 
-1588.45, -965.71, , 
-57.05, 402.26, , 
1241.48, 235.07, , 
429.63, -105.19, , 
1984.73, -1256.31, , 
2352.22, 914.69, , 
6364.11, 1605.65, , 
-1924.38, 1224.43, , 
382.74, 301.35, , 
-1516.90, -748.99, , 
-81.53, -1065.47, , 
553.16, 344.09, , 
-2509.13, -332.47, , 
-148.44, -1252.59, , 
-87.43, -1054.99, , 
-1114.92, -845.88, , 
135.96, -1220.61, , 
792.29, -554.37, , 
-299.64, -90.85, , 
-1244.04, -601.68, , 
42.80, -1372.37, , 
1405.17, 869.09, , 
-841.28, -1091.16, , 
-2736.91, -3531.57, , 
1660.22, -893.31, , 
268.26, 947.69, , 
-1511.28, -1295.07, , 
1462.14, 690.73, , 
2038.27, 49.75, , 
240.08, -147.10, , 
-580.72, 289.13, , 
273.71, -236.10, , 
185.51, 306.75, , 
-246.63, -829.86, , 
-1177.90, -862.74, , 
438.18, 1920.98, , 
-1246.65, 100.99, , 
1566.63, 508.73, , 
-695.43, 307.50, , 
-595.70, 284.13, , 
-1032.46, 1586.35, , 
-1286.81, -939.55, , 
-1223.66, 3434.42, , 
410.40, -395.34, , 
-31.29, -659.76, , 
-1613.31, -1768.19, , 
347.88, 414.07, , 
1608.93, -489.29, , 
-1225.06, 976.49, , 
-1863.59, -1172.44, , 
1293.94, -1363.47, , 
-1420.92, 279.48, , 
-30.88, 1198.35, , 
-255.93, -1104.65, , 
961.73, -722.59, , 
1527.13, 55.04, , 
1312.12, -1230.46, , 
1731.45, -1581.31, , 
-990.93, -697.09, , 
-1688.03, 574.72, , 
-1336.86, -695.67, , 
953.56, -2546.87, , 
-859.93, 458.74, , 
-796.71, 170.98, , 
-335.25, -890.57, , 
147.15, -1894.00, , 
1355.32, -91.71, , 
-1711.22, 327.45, , 
-2619.58, 1619.20, , 
-461.76, -717.30, , 
2742.42, -507.72, , 
-1121.77, -1433.87, , 
1506.20, 1084.91, , 
304.39, 528.87, , 
333.64, 1411.69, , 
1876.62, -2154.39, , 
976.73, 1136.10, , 
1408.01, -1493.70, , 
1174.35, -1143.01, , 
-982.97, 229.20, , 
239.42, 16.78, , 
-734.86, -525.92, , 
1111.48, 418.63, , 
153.11, 372.55, , 
-66.40, -821.81, , 
2423.85, 1310.85, , 
-1687.56, -1168.32, , 
1504.78, 362.80, , 
37.72, -242.92, , 
-3929.94, -2105.98, , 
-1193.30, 348.63, , 
-1249.40, -692.02, , 
-797.75, -27.12, , 
-1053.19, 423.11, , 
-2229.18, -825.65, , 
-1396.92, -489.73, , 
-576.36, -3162.82, , 
807.40, -3.74, , 
-1380.78, -513.70, , 
468.38, -209.19, , 
495.50, 900.29, , 
371.59, 442.82, , 
1672.98, -1498.38, , 
-1598.53, -112.15, , 
2075.30, -118.38, , 
-251.68, -1009.23, , 
-543.64, -1408.11, , 
-2605.23, -417.46, , 
573.87, -426.80, , 
87.07, 1236.72, , 
-161.02, -1132.85, , 
-2575.95, -1118.96, , 
511.59, 770.98, , 
-1091.62, -315.05, , 
-84.85, 475.32, , 
-1049.05, -229.07, , 
-447.19, 1202.34, , 
-167.51, 1134.83, , 
1206.40, 1019.14, , 
20.93, 680.76, , 
3440.28, -497.30, , 
-1349.47, -345.21, , 
459.30, -194.08, , 
-57.65, 764.11, , 
-847.06, -34.43, , 
-53.70, -569.07, , 
-3409.70, 36.02, , 
366.81, -1155.36, , 
1054.99, -1380.94, , 
-667.72, -45.12, , 
-598.06, 370.93, , 
486.91, -703.80, , 
815.97, -234.37, , 
1398.82, -427.01, , 
1142.37, 837.65, , 
165.74, -1049.13, , 
1333.09, -255.36, , 
685.22, 1571.16, , 
591.83, 1499.49, , 
1995.30, 1102.28, , 
3207.25, -863.37, , 
1932.25, -282.50, , 
-1224.39, -473.67, , 
1034.17, 2461.74, , 
-319.67, -384.91, , 
1833.38, -390.34, , 
270.92, 1393.46, , 
394.64, -1109.26, , 
-224.53, -312.57, , 
2747.26, -1184.45, , 
-650.23, -282.27, , 
1853.70, -255.56, , 
-210.03, -2322.94, , 
-758.90, -1279.78, , 
1087.81, -711.74, , 
-1523.63, -1060.83, , 
2074.50, 154.38, , 
-750.14, -1005.88, , 
770.14, 1135.44, , 
-1476.38, -746.76, , 
-220.32, 850.42, , 
-655.09, -628.28, , 
-1248.53, 208.43, , 
576.21, 162.89, , 
-112.81, -2058.68, , 
355.89, -192.58, , 
2331.81, 1920.24, , 
257.24, -1818.05, , 
-45.28, -319.58, , 
450.18, -2011.16, , 
1412.59, -255.47, , 
-3023.56, -231.78, , 
520.66, -1852.23, , 
-355.36, 192.28, , 
1207.80, -788.24, , 
-582.38, 750.65, , 
-1691.95, 1875.14, , 
-1075.07, -1480.39, , 
-3180.91, 547.61, , 
-792.89, 519.50, , 
-2345.47, 2068.68, , 
-2444.84, 1642.52, , 
-1776.76, -560.25, , 
-1520.81, -1161.54, , 
-3125.42, 1942.09, , 
397.82, -408.51, , 
-1265.83, -1410.90, , 
-1686.62, 1589.33, , 
108.52, -729.56, , 
1784.36, -1557.17, , 
-119.03, 816.37, , 
446.64, -100.00, , 
761.40, -1313.70, , 
818.29, -717.22, , 
2186.57, 1039.09, , 
1140.17, 498.91, , 
-801.78, -783.71, , 
-725.76, 290.66, , 
-762.47, -862.32, , 
364.88, 220.34, , 
-1575.51, -2049.27, , 
30.08, -235.31, , 
519.18, -507.18, , 
2262.16, -2488.99, , 
-1052.32, 498.65, , 
-736.82, 16.97, , 
1158.41, 126.94, , 
-47.17, -190.66, , 
-147.72, 1064.74, , 
-2132.50, -515.91, , 
-1005.08, -1954.69, , 
-373.92, 1368.56, , 
-322.98, -1453.90, , 
-2293.00, -1065.30, , 
-226.87, -949.03, , 
759.25, 650.56, , 
787.17, -2086.36, , 
992.34, 1507.66, , 
715.01, -763.06, , 
