donor, acceptor, , 
36576.88, 5336.12, , 
28728.58, 3547.63, , 
32286.58, 3353.22, , 
24861.06, 6882.31, , 
27498.19, 4085.37, , 
26543.76, 4827.48, , 
36434.52, 6111.56, , 
24338.16, 4713.12, , 
33632.59, 5951.29, , 
33492.57, 2149.53, , 
33098.38, 8175.05, , 
36274.67, 4065.22, , 
26549.07, 2227.47, , 
33861.73, 7535.92, , 
35342.33, 2677.72, , 
26483.32, 4237.47, , 
36339.19, 6813.72, , 
31788.26, 6167.52, , 
28696.32, 4419.22, , 
30968.56, 7084.11, , 
32758.35, 6066.98, , 
29300.28, 8875.21, , 
33803.44, 10235.26, , 
39406.98, 10315.33, , 
29957.26, 6258.42, , 
5189.69, 3060.57, , 
7644.97, 1048.00, , 
5700.41, 2167.34, , 
773.36, 4027.05, , 
2615.15, 1017.64, , 
2484.73, 1968.93, , 
1819.13, 2621.89, , 
4032.52, 5850.10, , 
-3653.59, 5711.32, , 
60.09, 9163.67, , 
1732.73, 8466.54, , 
1560.72, 4631.24, , 
-1553.69, 7549.88, , 
872.34, 10249.15, , 
-1866.40, 1965.15, , 
-833.06, 5349.85, , 
396.61, 5571.29, , 
-880.97, 9411.05, , 
-3115.15, 9722.91, , 
-3470.89, 7176.82, , 
2643.04, 9534.69, , 
-1479.36, 6479.96, , 
-1957.90, 5887.77, , 
-2573.98, 10027.91, , 
-1409.28, 10475.88, , 
4400.14, 7761.44, , 
239.47, 5458.39, , 
-1895.46, 2104.62, , 
1174.41, 3161.66, , 
-1673.29, 3080.56, , 
-445.39, 4925.40, , 
-1559.26, 3140.94, , 
-755.80, 2233.09, , 
-3252.97, 4031.09, , 
-2125.99, 6790.86, , 
-359.02, 6288.55, , 
-487.55, 3134.80, , 
891.98, 3652.07, , 
-1627.92, 2498.75, , 
-2239.34, 512.54, , 
-1361.85, 962.69, , 
-5318.51, -1212.23, , 
-2509.99, 2050.70, , 
-3256.71, 1075.94, , 
-1889.06, -438.56, , 
231.71, -1745.25, , 
-414.55, 282.82, , 
1136.61, 769.40, , 
833.61, -2555.79, , 
640.38, 2106.57, , 
-2230.75, 5662.15, , 
-2699.33, -63.98, , 
-4273.14, -5003.31, , 
-2161.55, -927.50, , 
-787.86, -2766.50, , 
-3197.52, -653.64, , 
974.79, -656.81, , 
2221.34, -2700.75, , 
-1844.08, -4716.63, , 
-1092.83, -1066.13, , 
187.42, 1828.58, , 
-2542.99, -329.18, , 
-1029.32, 40.96, , 
1170.00, -619.62, , 
