donor, acceptor, , 
17663.32, -204.39, , 
7221.84, -1581.21, , 
24801.64, -2218.02, , 
18909.57, -3320.02, , 
21576.84, 560.46, , 
20695.70, -1075.54, , 
38101.32, 128.18, , 
16309.99, 236.58, , 
20919.43, 563.38, , 
23691.40, 632.38, , 
20906.17, -1690.21, , 
13678.39, -874.91, , 
21223.15, 2081.84, , 
20565.47, -1614.92, , 
16180.85, -1070.21, , 
15759.91, 1408.89, , 
19712.02, 387.04, , 
21899.48, -197.89, , 
21975.32, -1427.58, , 
19610.46, -1655.30, , 
18032.73, -2048.51, , 
18783.44, -2164.73, , 
18715.08, -1724.17, , 
18715.44, 1260.90, , 
18805.59, -1580.99, , 
21305.05, -807.45, , 
21436.86, -695.24, , 
8665.05, 1310.65, , 
12261.31, -638.81, , 
6815.72, 786.21, , 
7953.37, -1459.47, , 
8809.24, 1064.60, , 
9306.99, -1023.60, , 
6524.85, -1370.69, , 
6102.79, -5694.98, , 
7159.28, -121.19, , 
8900.08, -3115.30, , 
8823.12, -2711.10, , 
17580.92, -1126.73, , 
14061.71, -789.93, , 
6755.20, -767.80, , 
13529.20, -2459.26, , 
9728.93, -142.75, , 
6633.35, 2169.96, , 
10460.95, -199.67, , 
14781.48, -1975.98, , 
11689.68, 385.64, , 
13165.50, -442.36, , 
20033.04, 1596.18, , 
14377.92, 940.97, , 
9794.35, -1019.48, , 
15350.41, 177.56, , 
16703.86, 997.57, , 
18835.04, 428.08, , 
17805.56, 2140.41, , 
9617.48, 384.17, , 
27473.77, -565.02, , 
14005.71, 11838.78, , 
5871.11, 12083.56, , 
3427.23, 386.45, , 
1463.62, 2021.13, , 
2090.78, -1317.72, , 
2605.99, -1004.73, , 
5385.29, 693.44, , 
267.23, 2908.74, , 
75.06, 1123.26, , 
796.10, -1725.65, , 
-2342.42, 363.40, , 
-3573.95, 183.16, , 
-6224.12, -879.37, , 
-1531.21, 587.59, , 
-549.69, 1918.46, , 
454.03, 1668.56, , 
651.30, -42.70, , 
-2656.24, -397.33, , 
-3379.56, -78.04, , 
-3913.03, 200.23, , 
-1988.02, -1440.20, , 
2455.23, -451.24, , 
-166.46, -1250.80, , 
-1936.42, 294.78, , 
-565.46, -135.28, , 
-1761.11, -1192.61, , 
-88.21, 311.91, , 
2032.70, 4533.82, , 
-604.49, 3135.24, , 
-268.76, 705.19, , 
172.12, -1474.01, , 
3646.36, -642.72, , 
454.99, 1468.72, , 
-3758.56, -218.62, , 
119.65, 1144.57, , 
645.28, 593.29, , 
-1956.99, 1886.54, , 
4010.58, 2095.65, , 
891.41, -1333.43, , 
3235.77, 1323.26, , 
-610.54, 645.33, , 
1073.15, 377.41, , 
-1538.62, -2987.69, , 
-376.43, 625.00, , 
591.83, -1213.52, , 
960.49, -730.22, , 
-2434.57, -1188.96, , 
907.14, 1406.46, , 
-1060.00, -992.86, , 
-1635.75, 820.15, , 
